,Articulo_Codigo,Articulo_Nombre,Grupo_Codigo,Grupo_Nombre,Subgrupo_Codigo,Subgrupo_Nombre
0,79749,CERVEZA PAGOA ORHI BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
1,49542,CERVEZA PAGOA GORRI BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
2,30798,CERVEZA GAR&GAR ZURRIOLA 1/3,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
3,16387,CERVEZA GAR&GAR URUMEA 1/3,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
4,85698,CERVEZA GAR&GAR IGELDO 1/3,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
5,17971,CERVEZA SAN MIGUEL RADLER L/33CL,58,CERVEZAS,3,CERVEZAS SABORES
6,84620,CERVEZA AFFLIGEM EST2+2+COPA,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
7,77336,CERVEZA MAHOU 5 EST 12LX33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
8,36819,CERVEZA ZERB ARTESANA BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
9,61235,CERVEZA ART.BAIAS AMBAR 1/3,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
10,33021,CERVEZA ART.BAIAS BELTZA 1/3,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
11,17964,CERVEZA ART.BAIAS GARI 1/3,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
12,77221,CERVEZA ART.BAIAS EKO 1/3,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
13,78197,CERVEZA ART.BAIAS GREEN GO 1/3,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
14,4056,CERVEZA HEINEKEN BT.33CL,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
15,9574,CERVEZA CRUZCAMPO GR.RES BT.33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
16,89925,CERVEZA SAN MIGUEL 1516 BT.1/3,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
17,33018,CERVEZA ESTR.GALICIA L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
18,85489,CERVEZA MOLENBIER L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
19,62725,CERVEZA MOLENBIER100%MALT L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
20,12108,CERVEZA KELER LUXE L/33 CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
21,88862,CERVEZA SAN MIGUEL L/33 CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
22,79819,CERVEZA VOLL-DAMM L/33 CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
23,75396,CERVEZA MAHOU 5 EST L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
24,39767,CERVEZA SKOL L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
25,79352,CERVEZA MAHOU CLASICA L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
26,2965,CERVEZA AMSTEL L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
27,13042,CERVEZA SAN MIGUEL L/50CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
28,3358,CERVEZA FREE DAMM L/33CL,58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
29,10441,CERVEZA ESTRELLA DAMM L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
30,32422,CERVEZA CRUZCAMPO L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
31,76485,CERVEZA SAN MIGUEL 1516 L/33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
32,33259,CERVEZA BOCK DAMM L/33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
33,70234,CERVEZA FREE DAMM LIMON L/33CL,58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
34,42529,CERVEZA AMSTEL EXTRA L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
35,87890,CERVEZA CRUZCAMPO G.RES L/33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
